local_row,local_col,injected_row_px,injected_col_px,measured_row_px,measured_col_px,error_px
367,32,-0.005,0.0,-0.00478598902459306,3.356740975460661e-05,0.00021662748808095307
367,143,-0.005,0.0,-0.0046585475145899495,1.6789985494948675e-05,0.0003418650368283095
367,255,-0.005,0.0,-0.004752119317587717,4.398397979194909e-05,0.00025175270245126973
367,367,-0.005,0.0,-0.004732711326938284,5.146703239487186e-05,0.00027219862264645574
367,479,-0.005,0.0,-0.0047952510800360615,3.708733088260063e-05,0.00020808073033895967
479,32,-0.005,0.0,-0.00476961614830581,-4.736099980512422e-05,0.00023520158040283534
479,143,-0.005,0.0,-0.0047026365476934805,-2.39105343587548e-05,0.00029832320798250505
479,255,-0.005,0.0,-0.004172311915120786,-4.9185222608517114e-05,0.0008291482086901414
479,367,-0.005,0.0,-0.004656937856197023,-2.7327877511717916e-05,0.00034414887389034134
479,479,-0.005,0.0,-0.004752627196818196,-3.8280500968188305e-05,0.00025031719978539044
32,32,0.0,0.005,2.0887497725443795e-05,0.004580292904081778,0.0004202265269177307
32,143,0.0,0.005,-7.301312256556864e-06,0.0046633848855072955,0.0003366942893272833
32,255,0.0,0.005,3.927842026747999e-06,0.004666766775838231,0.0003332563722245011
32,367,0.0,0.005,-8.39050184694955e-07,0.004715851277550611,0.00028414996124376366
32,479,0.0,0.005,-6.475715275867761e-06,0.004672370235763895,0.0003276937553596956
143,32,0.0,0.005,-7.14405845120886e-06,0.004689741575470721,0.00031034066372704765
143,143,0.0,0.005,1.1770697136070123e-05,0.00459551084198322,0.0004046603863293181
143,255,0.0,0.005,-1.0641766050354322e-05,0.004767627437056421,0.0002326161112082263
143,367,0.0,0.005,-1.6347442965095446e-05,0.004540322706581847,0.00045996788254804895
143,479,0.0,0.005,4.660363238071136e-06,0.004658170123293263,0.00034186164393633524
255,32,0.0,0.005,-3.974508211982079e-06,0.004849780872074657,0.00015027169763524238
255,143,0.0,0.005,8.838045087063385e-06,0.004687849784235183,0.00031227530841067616
255,255,0.0,0.005,-2.430695465732123e-06,0.004610595133706219,0.000389412452514971
255,367,0.0,0.005,7.990389090000876e-06,0.0047567251907228,0.00024340599652980527
255,479,0.0,0.005,9.20150794172431e-06,0.004746052753252175,0.00025411389548626125
367,32,0.0,0.005,7.176140412454578e-06,0.0047283001001967775,0.00027179465142695595
367,143,0.0,0.005,-1.5758131034834547e-05,0.004800271932491453,0.00020034874505324397
367,255,0.0,0.005,-1.346744603074331e-05,0.004720125313966295,0.0002801985224533775
367,367,0.0,0.005,1.9377566331037446e-05,0.004655864534232494,0.00034468058964196404
367,479,0.0,0.005,-3.5491539146154374e-05,0.004626127931628083,0.0003755528895637187
479,32,0.0,0.005,-3.0119695409013625e-05,0.004635231516615249,0.0003660098940224748
479,143,0.0,0.005,-1.8828113130483656e-05,0.004658578665528576,0.0003419400904782919
479,255,0.0,0.005,1.570303865374465e-06,0.004501123220986776,0.0004988792504132027
479,367,0.0,0.005,1.1012893350540152e-05,0.004801819431996189,0.00019848632535835665
479,479,0.0,0.005,7.83152610589909e-06,0.004758605278843267,0.00024152172615208824
32,32,0.0,-0.005,-2.0896918610076347e-05,-0.004579631700674243,0.00042088738195083164
32,143,0.0,-0.005,7.145876135535327e-06,-0.004663616501506298,0.00033645939072138683
32,255,0.0,-0.005,-3.88884906313932e-06,-0.004666709218006677,0.0003333134688379047
32,367,0.0,-0.005,8.297575276082534e-07,-0.004716276504800798,0.00028372470852149355
32,479,0.0,-0.005,6.018453843081446e-06,-0.004673370218313062,0.00032668522475238815
143,32,0.0,-0.005,7.189994870227962e-06,-0.0046897084245698375,0.00031037486658743195
143,143,0.0,-0.005,-1.1970086030831099e-05,-0.004594655870174424,0.0004055208336739788
143,255,0.0,-0.005,1.053703430994032e-05,-0.004767025808384193,0.00023321235612867424
143,367,0.0,-0.005,1.6327002719904917e-05,-0.0045401159035925506,0.0004601738292714093
143,479,0.0,-0.005,-4.344635363138639e-06,-0.0046586205452532215,0.00034140710007210816
255,32,0.0,-0.005,3.8614184629802435e-06,-0.004850140395572477,0.00014990934457771466
255,143,0.0,-0.005,-9.069519584017071e-06,-0.004688733781887241,0.0003113983216456127
255,255,0.0,-0.005,2.1679859345338877e-06,-0.0046115049076489445,0.00038850114149622205
255,367,0.0,-0.005,-8.117344167137005e-06,-0.004756940180796392,0.00024319532682109333
255,479,0.0,-0.005,-9.118820786034032e-06,-0.004745601019213278,0.0002545623584072296
367,32,0.0,-0.005,-7.208542946262435e-06,-0.004728185468286901,0.00027191010047774905
367,143,0.0,-0.005,1.600740416091919e-05,-0.0048008022538521865,0.0001998398835526577
367,255,0.0,-0.005,1.3283450183939228e-05,-0.004719435982720705,0.00028087829720483147
367,367,0.0,-0.005,-1.9419362313685796e-05,-0.00465621249190604,0.000344335537454566
367,479,0.0,-0.005,3.531069920352779e-05,-0.004625221156421485,0.00037643860996488024
479,32,0.0,-0.005,3.0185060999045055e-05,-0.004634489970807366,0.0003667543037892209
479,143,0.0,-0.005,1.8556004148248944e-05,-0.00465929970942539,0.0003412052363132391
479,255,0.0,-0.005,-1.6600269185503137e-06,-0.004502336135617379,0.0004976666330000574
479,367,0.0,-0.005,-1.0983846916622713e-05,-0.004802193747293373,0.00019811097522077348
479,479,0.0,-0.005,-7.649205660454291e-06,-0.004759729704113634,0.00024039202447784754
32,32,0.025,-0.04,0.02354884902051968,-0.03657242272879829,0.0037221129906687737
32,143,0.025,-0.04,0.02438875287707708,-0.037496699828556426,0.0025768459002491746
32,255,0.025,-0.04,0.023980892537761027,-0.037235174893361735,0.0029466655544680437
32,367,0.025,-0.04,0.023798298173283463,-0.03766822415543672,0.002623216702756879
32,479,0.025,-0.04,0.02385178507479071,-0.037242633837117615,0.002986882265955943
143,32,0.025,-0.04,0.023912238230042536,-0.03754722066324605,0.0026831608492574872
143,143,0.025,-0.04,0.02406680000724936,-0.0368675489428918,0.003268502998568012
143,255,0.025,-0.04,0.02387925597944929,-0.03765752025471814,0.002596782339098896
143,367,0.025,-0.04,0.024400207120205283,-0.03665810750299572,0.00339529040881424
143,479,0.025,-0.04,0.023466736563468153,-0.03771722112848915,0.002749904751445366
255,32,0.025,-0.04,0.024030286439015048,-0.03841548655898983,0.0018576940639136478
255,143,0.025,-0.04,0.023679741669506992,-0.03757639889012343,0.002759877605806303
255,255,0.025,-0.04,0.023778168291104632,-0.0366730894482319,0.0035441792483349504
255,367,0.025,-0.04,0.02352733719541181,-0.037956568862600834,0.0025187986321478753
255,479,0.025,-0.04,0.024325710659621972,-0.03810469594868062,0.002011676803439134
367,32,0.025,-0.04,0.023901320643850272,-0.03800223950701411,0.002279943708727215
367,143,0.025,-0.04,0.023318216775946025,-0.03832579121159982,0.0023730507537483877
367,255,0.025,-0.04,0.023817146765752997,-0.0379249321802899,0.0023885242787472396
367,367,0.025,-0.04,0.0235783751166996,-0.03758604405643682,0.002801464011241781
367,479,0.025,-0.04,0.024331235846240622,-0.03721133262052958,0.002867736258214121
479,32,0.025,-0.04,0.024219662958512373,-0.036886628545689894,0.003209674081714637
479,143,0.025,-0.04,0.02359285341697583,-0.037144604215954835,0.0031832917851902153
479,255,0.025,-0.04,0.020539426179625217,-0.03587317826127932,0.006076789980753857
479,367,0.025,-0.04,0.023108714318238126,-0.0381394244413191,0.0026530553970089354
479,479,0.025,-0.04,0.023758425342989813,-0.03796851889810644,0.0023808450382754084
32,32,-0.25,0.4,-0.23787866748778297,0.37495368665917195,0.02782524957369964
32,143,-0.25,0.4,-0.2450804152327423,0.3792904369741901,0.021285871253068932
32,255,-0.25,0.4,-0.2407841110548482,0.3770859239767131,0.024697924792385778
32,367,-0.25,0.4,-0.23950350231900197,0.37896009357146804,0.023512850233193307
32,479,-0.25,0.4,-0.24312728759634925,0.37344455266133314,0.02743038386789374
143,32,-0.25,0.4,-0.2389915220827193,0.3802010436755136,0.02265359259795624
143,143,-0.25,0.4,-0.24297907959219062,0.3768345039700218,0.02420606390323987
143,255,-0.25,0.4,-0.23991334515124355,0.3823877680712096,0.020296091238251924
143,367,-0.25,0.4,-0.24451434562886576,0.37095876670381644,0.029554790394162936
143,479,-0.25,0.4,-0.2367129181195625,0.3811734470991889,0.023043125634871913
255,32,-0.25,0.4,-0.2404763448322504,0.3850071541757736,0.017761909628844195
