local_row,local_col,injected_row_px,injected_col_px,measured_row_px,measured_col_px,error_px
143,143,0.0,-0.005,7.569388550914484e-06,-0.0048652574747287845,0.00013495496937682174
143,255,0.0,-0.005,-2.1459189022332565e-05,-0.004630503022794044,0.0003701195927775713
143,367,0.0,-0.005,8.438058039606266e-06,-0.004758603167285205,0.0002415442644076124
143,479,0.0,-0.005,3.860934687963818e-05,-0.0044759658129160124,0.0005254545754860718
255,32,0.0,-0.005,1.1967677754770862e-05,-0.004631050287928937,0.00036914375973076175
255,143,0.0,-0.005,-1.0042108004721748e-05,-0.004878927343988109,0.00012148840260268578
255,255,0.0,-0.005,7.618298390655826e-06,-0.004760068757615871,0.00024005216004518827
255,367,0.0,-0.005,-6.364980326435052e-06,-0.004759336968122823,0.00024074718666449924
255,479,0.0,-0.005,6.167069217800831e-06,-0.0047701074770843625,0.00022997522656854612
367,32,0.0,-0.005,5.142659836542251e-05,-0.004473133720070075,0.0005293701653348404
367,143,0.0,-0.005,1.8196041546445612e-05,-0.004794392877248114,0.00020641071884538618
367,255,0.0,-0.005,7.248074295735537e-06,-0.004704628843076426,0.00029546007331510474
367,367,0.0,-0.005,1.85247384021588e-05,-0.004586689919876457,0.0004137250152753616
367,479,0.0,-0.005,-3.974631148517259e-05,-0.0046055748128377575,0.0003964227510431843
479,32,0.0,-0.005,4.946208749532522e-05,-0.004596315084470895,0.00040670383465752583
479,143,0.0,-0.005,1.0474388756141783e-06,-0.004619141910241958,0.0003808595300925824
479,255,0.0,-0.005,1.3794420539248783e-05,-0.004848287808978123,0.00015233802855056316
479,367,0.0,-0.005,-2.4184619974731025e-05,-0.003547694775917089,0.0014525065782094884
479,479,0.0,-0.005,4.184774274642195e-05,-0.004735932805341381,0.00026736251956443633
32,32,0.025,-0.04,0.024216182247564597,-0.03742354152823009,0.002693048184824742
32,143,0.025,-0.04,0.024077739287892374,-0.039148220676289966,0.0012554253611414708
32,255,0.025,-0.04,0.02470397048919145,-0.037838494117493494,0.002181683100585367
32,367,0.025,-0.04,0.024154066806578143,-0.03871670758727525,0.001537023872387742
32,479,0.025,-0.04,0.024076123990190837,-0.036522430134249606,0.0035981994181362603
143,32,0.025,-0.04,0.02391657838508669,-0.037862549836076446,0.002396350474976104
143,143,0.025,-0.04,0.024005479735132507,-0.038978197857056,0.0014258857515793684
143,255,0.025,-0.04,0.023404525482445347,-0.03670998093500209,0.0036564688408649085
143,367,0.025,-0.04,0.023548230357066623,-0.03764966212203183,0.0027625573725725294
143,479,0.025,-0.04,0.024224984673401485,-0.03573775383317606,0.004332134709709288
255,32,0.025,-0.04,0.023706420336522725,-0.03684105981771379,0.003413539427196416
255,143,0.025,-0.04,0.023506674988149588,-0.039114008502489944,0.001736375686502823
